basisofrec,catnum,classkey,coll_code,datasetkey,day,dec_lat,dec_long,familykey,gbifid,gbifurl,genuskey,geomwkt,inst_code,kingdomkey,localid,month,occurid,orderkey,phylumkey,provider,puborgkey,rec_by,sciname,specieskey,taxonkey,year
HUMAN_OBSERVATION,2278,216,LitRev,88e38292-f762-11e1-a439-00145eb45e9a,0,-6.16667,39.2,3346,225876383,http://www.gbif.org/occurrence/225876383,1650098,POINT (39.2 -6.16667),NICD,1,802,0,0,811,54,"Walter Reed Biosystematics Unit, Smithsonian Institution","Walter Reed Biosystematics Unit, Smithsonian Institution",No data,"Anopheles gambiae Giles, 1902",1650518,1650518,1985
HUMAN_OBSERVATION,2279,216,LitRev,88e38292-f762-11e1-a439-00145eb45e9a,0,-6.16667,39.2,3346,225876384,http://www.gbif.org/occurrence/225876384,1650098,POINT (39.2 -6.16667),NICD,1,803,3,0,811,54,"Walter Reed Biosystematics Unit, Smithsonian Institution","Walter Reed Biosystematics Unit, Smithsonian Institution",No data,"Anopheles gambiae Giles, 1902",1650518,1650518,1984
HUMAN_OBSERVATION,2280,216,LitRev,88e38292-f762-11e1-a439-00145eb45e9a,0,-6.16667,39.2,3346,225876385,http://www.gbif.org/occurrence/225876385,1650098,POINT (39.2 -6.16667),NICD,1,804,2,0,811,54,"Walter Reed Biosystematics Unit, Smithsonian Institution","Walter Reed Biosystematics Unit, Smithsonian Institution",No data,"Anopheles gambiae Giles, 1902",1650518,1650518,1981
HUMAN_OBSERVATION,2281,216,LitRev,88e38292-f762-11e1-a439-00145eb45e9a,0,-6.16667,39.2,3346,225876386,http://www.gbif.org/occurrence/225876386,1650098,POINT (39.2 -6.16667),NICD,1,805,0,0,811,54,"Walter Reed Biosystematics Unit, Smithsonian Institution","Walter Reed Biosystematics Unit, Smithsonian Institution",No data,"Anopheles gambiae Giles, 1902",1650518,1650518,1982
HUMAN_OBSERVATION,2290,216,LitRev,88e38292-f762-11e1-a439-00145eb45e9a,0,7.03333,0.66667,3346,225876387,http://www.gbif.org/occurrence/225876387,1650098,POINT (0.66667 7.03333),NICD,1,806,7,0,811,54,"Walter Reed Biosystematics Unit, Smithsonian Institution","Walter Reed Biosystematics Unit, Smithsonian Institution",No data,"Anopheles gambiae Giles, 1902",1650518,1650518,1971
HUMAN_OBSERVATION,2291,216,LitRev,88e38292-f762-11e1-a439-00145eb45e9a,0,10.66667,0.2,3346,225876388,http://www.gbif.org/occurrence/225876388,1650098,POINT (0.2 10.66667),NICD,1,807,6,0,811,54,"Walter Reed Biosystematics Unit, Smithsonian Institution","Walter Reed Biosystematics Unit, Smithsonian Institution",No data,"Anopheles gambiae Giles, 1902",1650518,1650518,1966
HUMAN_OBSERVATION,2292,216,LitRev,88e38292-f762-11e1-a439-00145eb45e9a,0,7.16667,0.75,3346,225876389,http://www.gbif.org/occurrence/225876389,1650098,POINT (0.75 7.16667),NICD,1,808,4,0,811,54,"Walter Reed Biosystematics Unit, Smithsonian Institution","Walter Reed Biosystematics Unit, Smithsonian Institution",No data,"Anopheles gambiae Giles, 1902",1650518,1650518,1968
HUMAN_OBSERVATION,2294,216,LitRev,88e38292-f762-11e1-a439-00145eb45e9a,0,10.16667,0.41667,3346,225876390,http://www.gbif.org/occurrence/225876390,1650098,POINT (0.41667 10.16667),NICD,1,809,7,0,811,54,"Walter Reed Biosystematics Unit, Smithsonian Institution","Walter Reed Biosystematics Unit, Smithsonian Institution",No data,"Anopheles gambiae Giles, 1902",1650518,1650518,1966
HUMAN_OBSERVATION,2295,216,LitRev,88e38292-f762-11e1-a439-00145eb45e9a,0,10.16667,0.41667,3346,225876391,http://www.gbif.org/occurrence/225876391,1650098,POINT (0.41667 10.16667),NICD,1,810,7,0,811,54,"Walter Reed Biosystematics Unit, Smithsonian Institution","Walter Reed Biosystematics Unit, Smithsonian Institution",No data,"Anopheles gambiae Giles, 1902",1650518,1650518,1966
HUMAN_OBSERVATION,2296,216,LitRev,88e38292-f762-11e1-a439-00145eb45e9a,0,6.86667,1.18333,3346,225876392,http://www.gbif.org/occurrence/225876392,1650098,POINT (1.18333 6.86667),NICD,1,811,4,0,811,54,"Walter Reed Biosystematics Unit, Smithsonian Institution","Walter Reed Biosystematics Unit, Smithsonian Institution",No data,"Anopheles gambiae Giles, 1902",1650518,1650518,1968
